"","author","year","file","titles","periodical","volume","number"
"6555","Howard",2001,"Howard-2001-Competitive response.txt","Competitive response hierarchies for germination, growth, and survival and their influence on abundanceEcologyEcology","Ecology","82","4"
"6556","Brandt",2009,"Brandt-2009-Phylogeny and proven.txt","Phylogeny and provenance affect plant-soil feedbacks in invaded California grasslandsEcologyEcology","Ecology","90","4"
"6557","Caswell",1983,"Caswell-1983-Reanalysis of Caswel.txt","Reanalysis of Caswell Neutral Models - ReplyEcologyEcology","Ecology","64","3"
"6558","Goff",1968,"Goff-1968-CorrectionEcologyEco.txt","CorrectionEcologyEcology","Ecology","49","1"
"6559","Loosanoff",1956,"Loosanoff-1956-On Utilization of Sa.txt","On Utilization of Salt-Water Ponds for Shellfish CultureEcologyEcology","Ecology","37","3"
"6560","Dudgeon",2001,"Dudgeon-2001-Scale-dependent recr.txt","Scale-dependent recruitment and divergence of intertidal communitiesEcologyEcology","Ecology","82","4"
"6561","Vincent",1969,"Vincent-1969-Altitudinal Distribu.txt","Altitudinal Distribution of Brown Trout and Other Fishes in a Headwater Tributary of South Platte River, ColoradoEcologyEcology","Ecology","50","3"
"6562","Vincent",1981,"Vincent-1981-Production Strategie.txt","Production Strategies in Antarctic Inland Waters - Phytoplankton Eco-Physiology in a Permanently Ice-Covered LakeEcologyEcology","Ecology","62","5"
"6564","Dudt",1994,"Dudt-1994-The Influence of Lig.txt","The Influence of Light and Nutrients on Foliar Phenolics and Insect HerbivoryEcologyEcology","Ecology","75","1"
"6565","Florence",1962,"Florence-1962-Analysis of Blackbut.txt","Analysis of Blackbutt (Eucalyptus Pilularis Sm) Seedling Growth in a Blackbutt Forest SoilEcologyEcology","Ecology","43","4"
"6566","Howe",1984,"Howe-1984-Local Dynamics of Bi.txt","Local Dynamics of Bird Assemblages in Small Forest Habitat Islands in Australia and North-AmericaEcologyEcology","Ecology","65","5"
"6568","Rogers",1985,"Rogers-1985-Mortality of Burned.txt","Mortality of Burned Cereus-GiganteusEcologyEcology","Ecology","66","2"
"6569","Goldberg",1982,"Goldberg-1982-The Distribution of.txt","The Distribution of Evergreen and Deciduous Trees Relative to Soil Type - an Example from the Sierra-Madre, Mexico, and a General-ModelEcologyEcology","Ecology","63","4"
"6570","Palen",2002,"Palen-2002-Optical characterist.txt","Optical characteristics of natural waters protect amphibians from UV-B in the US Pacific NorthwestEcologyEcology","Ecology","83","11"
"6571","Allen",1968,"Allen-1968-Adaptation of Hetero.txt","Adaptation of Heterotrophic Microcosms to Different TemperaturesEcologyEcology","Ecology","49","2"
"6573","Selaya",2010,"Selaya-2010-Leaves of pioneer an.txt","Leaves of pioneer and later-successional trees have similar lifetime carbon gain in tropical secondary forestEcologyEcology","Ecology","91","4"
"6574","Cates",1975,"Cates-1975-Interface between Sl.txt","Interface between Slugs and Wild Ginger - Some Evolutionary AspectsEcologyEcology","Ecology","56","2"
"6575","Cates",1975,"Cates-1975-Successional Status.txt","Successional Status and Palatability of Plants to Generalized HerbivoresEcologyEcology","Ecology","56","2"
"6576","Floyd",1996,"Floyd-1996-Top-down impacts on.txt","Top-down impacts on creosotebush herbivores in a spatially and temporally complex environmentEcologyEcology","Ecology","77","5"
"6577","Howeth",2010,"Howeth-2010-Species dispersal ra.txt","Species dispersal rates alter diversity and ecosystem stability in pond metacommunitiesEcologyEcology","Ecology","91","9"
"6578","Pallardy",1981,"Pallardy-1981-Water Relations of P.txt","Water Relations of Populus ClonesEcologyEcology","Ecology","62","1"
"6579","Moreno",2010,"art101951.txt","Improved estimation of site occupancy using penalized likelihoodEcologyEcology","Ecology","91","2"
"6580","Bray",1960,"Bray-1960-The Composition of S.txt","The Composition of Savanna Vegetation in WisconsinEcologyEcology","Ecology","41","4"
"6581","Cross",2007,"Cross-2007-Compensatory respons.txt","Compensatory responses to loss of warming-sensitive plant speciesEcologyEcology","Ecology","88","3"
"6582","Duffy",2009,"Duffy-2009-Rapid evolution, sea.txt","Rapid evolution, seasonality, and the termination of parasite epidemicsEcologyEcology","Ecology","90","6"
"6583","Sellmer",1956,"Sellmer-1956-A Method for the Sep.txt","A Method for the Separation of Small Bivalve Mollusks from SedimentsEcologyEcology","Ecology","37","1"
"6584","Palmer",1990,"Palmer-1990-Predator Size, Prey.txt","Predator Size, Prey Size, and the Scaling of Vulnerability - Hatchling Gastropods Vs BarnaclesEcologyEcology","Ecology","71","2"
"6585","Lorimer",1977,"Lorimer-1977-Pre-Settlement Fores.txt","Pre-Settlement Forest and Natural Disturbance Cycle of Northeastern MaineEcologyEcology","Ecology","58","1"
"6586","Lorimer",1980,"Lorimer-1980-Age Structure and Di.txt","Age Structure and Disturbance History of a Southern Appalachian Virgin ForestEcologyEcology","Ecology","61","5"
"6587","Lorimer",1988,"Lorimer-1988-Estimating Gap Origi.txt","Estimating Gap Origin Probabilities for Canopy TreesEcologyEcology","Ecology","69","3"
"6588","Lorimer",1989,"Lorimer-1989-Relative Effects of.txt","Relative Effects of Small and Large Disturbances on Temperate Hardwood Forest StructureEcologyEcology","Ecology","70","3"
"6590","Dukas",1993,"Dukas-1993-Information-Processi.txt","Information-Processing and Prey DetectionEcologyEcology","Ecology","74","5"
"6591","Lorio",1968,"Lorio-1968-Microsite Effects on.txt","Microsite Effects on Oleoresin Exudation Pressure of Large Loblolly PinesEcologyEcology","Ecology","49","6"
"6592","Vitousek",1985,"Vitousek-1985-Disturbance, Nitroge.txt","Disturbance, Nitrogen Availability, and Nitrogen Losses in an Intensively Managed Loblolly-Pine PlantationEcologyEcology","Ecology","66","4"
"6593","Goldstein",1960,"Goldstein-1960-Degradation of Polle.txt","Degradation of Pollen by PhycomycetesEcologyEcology","Ecology","41","3"
"6594","Palmer",2003,"Palmer-2003-Spatial habitat hete.txt","Spatial habitat heterogeneity influences competition and coexistence in an African acacia ant guildEcologyEcology","Ecology","84","11"
"6595","Palmer",2003,"Palmer-2003-The perils of having.txt","The perils of having tasty neighbors: Grazing impacts of large herbivores at vegetation boundariesEcologyEcology","Ecology","84","11"
"6596","Palmer",2008,"Palmer-2008-Indices for detectin.txt","Indices for detecting differences in species composition: Some simplifications of RDA and CCAEcologyEcology","Ecology","89","6"
"6597","Semlitsch",1987,"Semlitsch-1987-Pedomorphosis in Amb.txt","Pedomorphosis in Ambystoma-Talpoideum - Effects of Density, Food, and Pond DryingEcologyEcology","Ecology","68","4"
"6598","Semlitsch",1988,"Semlitsch-1988-Time and Size at Met.txt","Time and Size at Metamorphosis Related to Adult Fitness in Ambystoma-TalpoideumEcologyEcology","Ecology","69","1"
"6599","Losos",1995,"Losos-1995-Habitat Specificity.txt","Habitat Specificity of 2 Palm Species - Experimental Transplantation in Amazonian Successional ForestsEcologyEcology","Ecology","76","8"
"6600","Losos",1996,"Losos-1996-Phylogenetic perspec.txt","Phylogenetic perspectives on community ecologyEcologyEcology","Ecology","77","5"
"6601","Losos",1999,"Losos-1999-Differential coloniz.txt","Differential colonization success and asymmetrical interactions between two lizard speciesEcologyEcology","Ecology","80","1"
"6602","Murray",2009,"art101685.txt","Methods to quantify variable importance: implications for the analysis of noisy ecological dataEcologyEcology","Ecology","90","2"
"6603","Pandey",1992,"Pandey-1992-Rainfall and Grazing.txt","Rainfall and Grazing Effects on Net Primary Productivity in a Tropical Savanna, IndiaEcologyEcology","Ecology","73","6"
"6605","Golley",1961,"Golley-1961-Energy Values of Eco.txt","Energy Values of Ecological MaterialsEcologyEcology","Ecology","42","3"
"6606","Lotspeich",1961,"Lotspeich-1961-Vegetation as a Soil.txt","Vegetation as a Soil-Forming Factor on Quillayute Physiographic Unit in Western Clallam County, WashingtonEcologyEcology","Ecology","42","1"
"6607","Cavitt",1997,"Cavitt-1997-Mass loss in breedin.txt","Mass loss in breeding House Wrens: Effects of food supplementsEcologyEcology","Ecology","78","8"
"6608","Seneca",1972,"Seneca-1972-Seedling Response to.txt","Seedling Response to Salinity in 4 Dune Grasses from Outer Banks of North-CarolinaEcologyEcology","Ecology","53","3"
"6609","Hubbell",2006,"Hubbell-2006-Neutral theory and t.txt","Neutral theory and the evolution of ecological equivalenceEcologyEcology","Ecology","87","6"
"6610","Louch",1956,"Louch-1956-Adrenocortical Activ.txt","Adrenocortical Activity in Relation to the Density and Dynamics of 3 Confined Populations of Microtus-PennsylvanicusEcologyEcology","Ecology","37","4"
"6611","Voesenek",2004,"Voesenek-2004-Plant hormones regul.txt","Plant hormones regulate fast shoot elongation under water: From genes to communitiesEcologyEcology","Ecology","85","1"
"6612","Nadelhoffer",1998,"art100342.txt","A global trend in belowground carbon allocation: CommentEcologyEcology","Ecology","79","5"
"6613","Louda",1984,"Louda-1984-Herbivore Effect on.txt","Herbivore Effect on Stature, Fruiting, and Leaf Dynamics of a Native CruciferEcologyEcology","Ecology","65","5"
"6614","Pantasticocaldas",1992,"Pantasticocaldas-1992-Population-Dynamics.txt","Population-Dynamics of Bacteriophage and Bacillus-Subtilis in SoilEcologyEcology","Ecology","73","5"
"6615","Vogl",1966,"Vogl-1966-Salt-Marsh Vegetatio.txt","Salt-Marsh Vegetation of Upper Newport Bay CaliforniaEcologyEcology","Ecology","47","1"
"6616","Vogl",1966,"Vogl-1966-Vegetation of Califo.txt","Vegetation of California Fan Palm Oases on San Andreas FaultEcologyEcology","Ecology","47","4"
"6617","Duncan",2002,"Duncan-2002-Does human scent bia.txt","Does human scent bias seed removal studies?EcologyEcology","Ecology","83","9"
"6618","Juliano",1986,"Juliano-1986-A Test for Competiti.txt","A Test for Competition for Food among Adult Brachinus Spp (Coleoptera, Carabidae)EcologyEcology","Ecology","67","6"
"6619","Juliano",1986,"Juliano-1986-Food Limitation of R.txt","Food Limitation of Reproduction and Survival for Populations of Brachinus (Coleoptera, Carabidae)EcologyEcology","Ecology","67","4"
"6620","Huberman",1940,"Huberman-1940-Normal growth and de.txt","Normal growth and development of southern pine seedlings in the nurseryEcologyEcology","Ecology","21","3"
"6621","Huberman",1943,"Huberman-1943-Sunscald of eastern.txt","Sunscald of eastern white pine, Pinus strobus LEcologyEcology","Ecology","24","4"
"6623","Chabreck",1973,"Chabreck-1973-Effects of Hurricane.txt","Effects of Hurricane Camille on Marshes of Mississippi River DeltaEcologyEcology","Ecology","54","5"
"6624","Murray",1967,"Murray-1967-Dispersal in Vertebr.txt","Dispersal in VertebratesEcologyEcology","Ecology","48","6"
"6625","Gomez",2002,"Gomez-2002-Asymmetrical interac.txt","Asymmetrical interactions between ungulates and phytophagous insects: Being different mattersEcologyEcology","Ecology","83","1"
"6626","Murray",1971,"Murray-1971-Ecological Consequen.txt","Ecological Consequences of Interspecific Territorial Behavior in BirrdsEcologyEcology","Ecology","52","3"
"6627","Mclaughlin",1982,"Mclaughlin-1982-Effects of Wildfire.txt","Effects of Wildfire on a Sonoran Desert Plant CommunityEcologyEcology","Ecology","63","1"
"6628","Mclaughlin",1989,"Mclaughlin-1989-Avian Predation on A.txt","Avian Predation on Anolis Lizards in the Northeastern Caribbean - an Inter-Island ContrastEcologyEcology","Ecology","70","3"
"6629","Harrold",1985,"Harrold-1985-Food Availability, S.txt","Food Availability, Sea-Urchin Grazing, and Kelp Forest Community StructureEcologyEcology","Ecology","66","4"
"6630","Love",1966,"Love-1966-Zoller,H - Flora Des.txt","Zoller,H - Flora Des Schweizerischen National-Parks Und Seiner UmgebungEcologyEcology","Ecology","47","4"
"6632","Dunn",1949,"Dunn-1949-The Application of F.txt","The Application of Fisher Formula to Collections of Panamanian SnakesEcologyEcology","Ecology","30","4"
"6633","Ford",1984,"Ford-1984-Resource Limitation.txt","Resource Limitation in Populations of the California VoleEcologyEcology","Ecology","65","1"
"6634","Hart",1980,"Hart-1980-The Coexistence of W.txt","The Coexistence of Weeds and Restricted Native Plants on Serpentine Barrens in Southeastern PennsylvaniaEcologyEcology","Ecology","61","3"
"6635","von Felten",2008,"von Felten-2008-Preferences for diff.txt","Preferences for different nitrogen forms by coexisting plant species and soil microbes: CommentEcologyEcology","Ecology","89","3"
"6636","Dunn",1968,"Dunn-1968-Endoparasite Pattern.txt","Endoparasite Patterns in Mammals of Malayan Rain ForestEcologyEcology","Ecology","49","6"
"6637","Primack",1988,"Primack-1988-A Method to Label Se.txt","A Method to Label Seeds and Seedlings Using Gamma-Emitting RadionuclidesEcologyEcology","Ecology","69","3"
"6638","Loveless",1959,"Loveless-1959-A Study of the Veget.txt","A Study of the Vegetation in the Florida EvergladesEcologyEcology","Ecology","40","1"
"6639","Roney",1943,"Roney-1943-The effect of temper.txt","The effect of temperature and light on oxygen consumption and rate of development of HelisomaEcologyEcology","Ecology","24","2"
"6640","Mcloskey",1976,"Mcloskey-1976-Community Structure.txt","Community Structure in Sympatric RodentsEcologyEcology","Ecology","57","4"
"6641","Vonesh",2006,"Vonesh-2006-Opposite shifts in s.txt","Opposite shifts in size at metamorphosis in response to larval and metamorph predatorsEcologyEcology","Ecology","87","3"
"6642","Newton",1997,"art100079.txt","Senescence and reproductive value in SparrowhawksEcologyEcology","Ecology","78","4"
"6643","Mcloskey",1987,"Mcloskey-1987-Tree Lizard (Urosaur.txt","Tree Lizard (Urosaurus, Ornatus) Territories - Experimental Perturbation of the Sex-RatioEcologyEcology","Ecology","68","6"
"6644","Huey",1976,"Huey-1976-Thermal Biology of A.txt","Thermal Biology of Anolis Lizards in a Complex Fauna - Cristatellus Group on Puerto-RicoEcologyEcology","Ecology","57","5"
"6645","Paris",1965,"Paris-1965-Vagility of P-32-Lab.txt","Vagility of P-32-Labeled Isopods in GrasslandEcologyEcology","Ecology","46","5"
"6646","Huey",1977,"Huey-1977-Seasonal-Variation i.txt","Seasonal-Variation in Thermoregulatory Behavior and Body-Temperature of Diurnal Kalahari LizardsEcologyEcology","Ecology","58","5"
"6647","Settle",1990,"Settle-1990-Invasion by the Vari.txt","Invasion by the Variegated Leafhopper and Biotic Interactions - Parasitism, Competition, and Apparent CompetitionEcologyEcology","Ecology","71","4"
"6648","Vos",2004,"Vos-2004-Inducible defenses a.txt","Inducible defenses and trophic structureEcologyEcology","Ecology","85","10"
"6650","Murtaugh",2002,"Murtaugh-2002-On rejection rates o.txt","On rejection rates of paired intervention analysisEcologyEcology","Ecology","83","6"
"6652","Park",1945,"Park-1945-A Further Report on.txt","A Further Report on Toleration Experiments by Ecology ClassesEcologyEcology","Ecology","26","3"
"6653","Park",1945,"Park-1945-Observations Concern.txt","Observations Concerning the Future of EcologyEcologyEcology","Ecology","26","1"
"6654","Park",1948,"Park-1948-The Fecundity and De.txt","The Fecundity and Development of the Flour Beetles, Tribolium-Confusum and Tribolium-Castaneum, at 3 Constant TemperaturesEcologyEcology","Ecology","29","3"
